stations	X	Y	x	y	01.04.2015	02.04.2015	03.04.2015	01.05.2015	02.05.2015	03.05.2015	01.06.2015	02.06.2015	03.06.2015	01.07.2015	02.07.2015	03.07.2015	01.08.2015	02.08.2015	03.08.2015	01.09.2015	02.09.2015	03.09.2015	01.10.2015
2451010	411146.941873917	7242515.5866799	411.146941873917	7242.5155866799	3.7	27.4	64.5	122.4	0	155.1	0	88.6	15.7	151.8	249	39.4	0	10.5	65.5	77.7	4.1	112	92.5
2451013	422141.506003918	7262514.89309808	422.141506003918	7262.51489309808	5.9	13.5	60.1	108.9	0	108.5	0	100.3	13.1	202.7	168.5	28.8	0	11.4	39.3	86.3	0	164.7	152.5
2451014	434015.201095164	7317940.7991778	434.015201095164	7317.9407991778	2.6	3.9	84.3	98.9	0	79.7	0	63.8	14	198.9	279.1	11.6	0	4.7	39.8	108.5	3.1	105.5	93.4
2451015	432129.179389315	7288035.56889339	432.129179389315	7288.03556889339	9.4	13.2	60.6	105.4	0	108	0	82.2	14.8	162.8	266.6	8.2	0	7.8	46.6	140.2	0	115.2	85.6
2451017	457397.423873699	7306958.3220818	457.397423873699	7306.9583220818	0	0	65	93.9	0	49.6	0	64.6	0	191.8	277.3	16	0	8.5	39.6	103.3	0	63	78.7
2451020	403386.43779805	7343233.12631463	403.38643779805	7343.23312631463	3.7	3	50.2	96	0	68.2	0	45.3	0	247.7	246.8	12	0	6	46.5	161.5	6.2	57.2	120.5
2451021	403962.907300982	7259078.45348586	403.962907300982	7259.07845348586	24.1	26.5	30.5	100.4	9.6	121.3	4.5	79.7	4.7	135.3	187.7	36	0	13.2	45.8	64.8	5.8	124.7	76.4
2451022	446197.268219111	7317992.32332812	446.197268219111	7317.99232332812	0	10.2	90.5	96	0	40.6	0	63.5	13.1	201.3	265	16.8	0	7.5	42.8	108	0	70.9	111.1
2451023	456325.011235316	7325777.5920542	456.325011235316	7325.7775920542	6	40	20	86	7	32	0	59.7	12.3	242.2	192.5	8	0	6	39.1	127	0	63	93.9
2451026	415987.24814712	7276874.52342195	415.98724814712	7276.87452342195	10.4	25.6	40.8	88.8	0	130.2	0	63.6	19	159.2	256.9	5.9	0	0	54.7	76.5	0	119	100.3
2451027	433350.201024342	7244856.07342432	433.350201024342	7244.85607342432	4.9	37.5	41.8	91.4	1	98.7	0	69	13.1	175.1	199.1	54.4	0	8	35.4	67.4	3	134.8	106.1
2451028	436390.079408005	7242655.80438906	436.390079408005	7242.65580438906	0.5	6	58.8	82.5	0	115.5	0	58.8	10.4	115.7	184.9	42.5	0	8.5	40	62.7	1	122.6	66.7
2451029	462639.099299737	7243859.66157443	462.639099299737	7243.85966157443	0.8	15.4	88	81.7	0	111.9	0	73.8	23.9	134.7	197.1	41.2	0	9.5	34.6	73.9	1.6	128.6	70.8
2451032	437314.196669859	7261484.63205842	437.314196669859	7261.48463205842	0.7	33.5	74.8	90.7	0	143	0	79.8	10.6	154.4	181	26.5	0	9.9	27.9	85.6	3.2	133.9	62.8
