stations	x	y	yield	01_04_2015	02_04_2015	03_04_2015	01_05_2015	02_05_2015	03_05_2015	01_06_2015	02_06_2015	03_06_2015	01_07_2015	02_07_2015	03_07_2015	01_08_2015	02_08_2015	03_08_2015	01_09_2015	02_09_2015	03_09_2015	01_10_2015
2451002	436.9626949	7340.098749	4.8	0	0	98.9	28.6	68.6	25.8	9.6	36.2	0	202	212.6	2.6	0	6.2	49.5	47.6	54.1	137.9	67.4
2451003	484.8427718	7253.867564	4.46	0.9	3.3	138.8	97.3	0	46.9	0	79.6	0	137.2	176.4	30.4	0.7	8.3	44.2	82.8	10	88.1	65.2
2451006	451.2161009	7334.618556	4.8	0	8.4	73.3	98	0	49	0	60.4	11.5	197.9	184.7	15.7	0	3	30.7	92.1	23.1	81.7	133.8
2451010	411.1469419	7242.515587	4.6	3.7	27.4	64.5	122.4	0	155.1	0	88.6	15.7	151.8	249	39.4	0	10.5	65.5	77.7	4.1	112	92.5
2451013	422.141506	7262.514893	4.5	5.9	13.5	60.1	108.9	0	108.5	0	100.3	13.1	202.7	168.5	28.8	0	11.4	39.3	86.3	0	164.7	152.5
2451014	434.0152011	7317.940799	4.8	2.6	3.9	84.3	98.9	0	79.7	0	63.8	14	198.9	279.1	11.6	0	4.7	39.8	108.5	3.1	105.5	93.4
2451015	432.1291794	7288.035569	4.8	9.4	13.2	60.6	105.4	0	108	0	82.2	14.8	162.8	266.6	8.2	0	7.8	46.6	140.2	0	115.2	85.6
2451017	457.3974239	7306.958322	4.8	0	0	65	93.9	0	49.6	0	64.6	0	191.8	277.3	16	0	8.5	39.6	103.3	0	63	78.7
2451020	403.3864378	7343.233126	5.1	3.7	3	50.2	96	0	68.2	0	45.3	0	247.7	246.8	12	0	6	46.5	161.5	6.2	57.2	120.5
2451021	403.9629073	7259.078453	4.6	24.1	26.5	30.5	100.4	9.6	121.3	4.5	79.7	4.7	135.3	187.7	36	0	13.2	45.8	64.8	5.8	124.7	76.4
2451022	446.1972682	7317.992323	4.8	0	10.2	90.5	96	0	40.6	0	63.5	13.1	201.3	265	16.8	0	7.5	42.8	108	0	70.9	111.1
2451023	456.3250112	7325.777592	4.8	6	40	20	86	7	32	0	59.7	12.3	242.2	192.5	8	0	6	39.1	127	0	63	93.9
2451026	415.9872481	7276.874523	4.5	10.4	25.6	40.8	88.8	0	130.2	0	63.6	19	159.2	256.9	5.9	0	0	54.7	76.5	0	119	100.3
2451027	433.350201	7244.856073	0	4.9	37.5	41.8	91.4	1	98.7	0	69	13.1	175.1	199.1	54.4	0	8	35.4	67.4	3	134.8	106.1
2451028	436.3900794	7242.655804	0	0.5	6	58.8	82.5	0	115.5	0	58.8	10.4	115.7	184.9	42.5	0	8.5	40	62.7	1	122.6	66.7
2451029	462.6390993	7243.859662	3.2	0.8	15.4	88	81.7	0	111.9	0	73.8	23.9	134.7	197.1	41.2	0	9.5	34.6	73.9	1.6	128.6	70.8
2451032	437.3141967	7261.484632	4.5	0.7	33.5	74.8	90.7	0	143	0	79.8	10.6	154.4	181	26.5	0	9.9	27.9	85.6	3.2	133.9	62.8
2451034	471.7064549	7253.846864	3.2	0	0	139.6	101	0	73.7	0	85	0	149.9	217.8	2.8	0	9.9	31.9	53.5	0	129.5	75.3
2451035	498.9897625	7250.554071	4.5	0	1.6	103.2	83.9	0	57	0	84.4	12.9	137.7	200.9	49.4	0	17.2	45.3	118.1	0	96.4	73.4
2451036	423.0851899	7274.700895	4.5	4.2	7.7	44.1	102.3	0	105.7	0	81.8	14.9	156.9	214.3	29.8	0	9.1	39.2	107.7	0	154.7	98.4
2451038	472.6711126	7277.101215	4.46	2.9	0	41.6	70	35.4	76.8	0	83.1	0	133	220.4	36.8	0	11.7	36.3	104.9	0	83	62.5
2451043	484.811278	7282.655903	4.5	4.9	5.7	38.2	99.7	0	91.5	0	76.5	18.6	121.2	257.6	15.7	0	9.5	31.4	108.8	2.1	90.9	62
2451044	405.7154806	7298.955972	4.8	5.1	9.2	29.7	92.8	0	102.5	0	49	14.2	184.2	193.5	13	0	4.7	38	88.1	1.5	103.8	76
2451046	449.2904925	7304.71702	4.8	0	6.7	123.6	45.6	0	87.8	9	84.4	29.6	156	246.5	0	0	9.8	43.6	97.8	0	91.6	80.8
